Campaign Name,registrations,attendance,events,attendance_rate
[Propel event] Aplica a grants con confianza (2024),186,191,445,1.0268817204301075
[Propel event] Lidera con un mindset digital (2024),199,70,211,0.35175879396984927
[Workshop] Crea tu primer GPT (2024),431,114,431,0.26450116009280744
[Workshop] Eleva tu fundraising con ChatGPT I (2024),59,44,59,0.7457627118644068
[Workshop] Eleva tu fundraising con ChatGPT II (2024),27,27,27,1.0
[Workshop] Fortalece tu historia de impacto (2024),346,130,346,0.37572254335260113
[Workshop] Impulsa tu productividad con IA (2024),72,54,72,0.75
[Workshop] Planea con OKRs (2024),247,101,255,0.4089068825910931
[Workshop] Visibiliza tu causa con IA (2024),76,54,76,0.7105263157894737
